NORMA,ART,APT,OPC,PTOS,CALIF,INFRACCION,MULTA,RESPONS,COMENTARIO,MATERIA
CIR,6,1,5A,4,Grave 076.- N),"Arrojar A La Vía O En Sus Inmediaciones Cualquier Objeto Que Pueda Dar Lugar A La Producción De Incendios. (Deberá Detallarse El Objeto Lugar Donde Fue Arrojado Y El Tipo De Riesgo Creado. Instrucción Dgt 05/S-81 De
27/7/05))",200;100,Conductor,"NOTA: Válido para casos de colillas o elementos en combustión; Posible traslado al Ministerio Fiscal, de los casos en los que los hechos pudieran ser constitutivos de delitos previstos en los artículos 385 ó 351 del C.P.",COMPORTA MIENTO INDEBIDO
CIR,6,1,5B,4,Grave 076.- N),"Arrojar A La Vía O En Sus Inmediaciones Cualquier Objeto Que Pueda Producir Accidentes De Circulación (Deberá Detallarse El Objeto
Arrojado)",200;100,Conductor,"NOTA: Habrá que tener en cuenta, a efectos de traslado al Ministerio Fiscal, los casos en los que los hechos pudieran ser constitutivos de delitos previstos en los artículos 385 ó 351 del Código Penal.",COMPORTA MIENTO INDEBIDO
CIR,6,1,5C,0,Grave 076.- N),"Arrojar A La Vía O En Sus Inmediaciones Cualquier Objeto Que Pueda Dar Lugar A La Producción De Incendios. (Deberá Detallarse El Objeto
Arrojado.)",200;100,Autor Pasajero,"NOTA: Habrá que tener en cuenta, a efectos de traslado al Ministerio Fiscal, los casos en los que los hechos pudieran ser constitutivos de delitos previstos en los artículos 385 o 351 del Código Penal.",COMPORTA MIENTO INDEBIDO
CIR,6,1,5D,0,Grave 076.- N),"Arrojar A La Vía O En Sus Inmediaciones Cualquier Objeto Que Pueda Producir Accidentes De Circulación. (Deberá Detallarse El Objeto
Arrojado.)",200;100,Autor Pasajero,"NOTA: Habrá que tener en cuenta, a efectos de traslado al Ministerio Fiscal, los casos en los que los hechos pudieran ser constitutivos de delitos previstos en los artículos 385 o 351 del Código Penal.",COMPORTA MIENTO INDEBIDO
CIR,7,1,5A,0,Grave 076.- O),"Circular Con Un Vehículo Que Emite Perturbaciones Electromagnéticas (La Comisión De Los Hechos Descritos En Estos Supuestos Se Denunciarán Por Este Precepto, Aunque En Directa Relación Con Lo Dispuesto En El Art. 11.19 Del Reglamento General
De Vehículos)",200;100,Titular Conductor,NOTA: Al perseguir este tipo de infracción deberá contarse con la ayuda del correspondiente medidor de frecuencias electromagnéticas,EMISIONES
CIR,7,1,5B,0,Grave 076.- O),"Circular Con Un Vehículo Con Niveles De Emisión De Ruido Superiores A Los Límites Establecidos Por Las Normas Que Regulan Específicamente La Materia (La Comisión De Los Hechos Descritos En Estos Supuestos Se Denunciarán Por Este Precepto, Aunque En Directa Relación Con Lo Dispuesto En El Art. 11.19 Del Reglamento General
De Vehículos)",200;100,Titular Conductor,NOTA: Al perseguir este tipo de infracción deberá contarse con el medio técnico (sonómetro) que permita comprobar los niveles de ruido detectados,EMISIONES
CIR,7,1,5C,0,Grave 076.- O),"Circular Con Un Vehículo Emitiendo Gases O Humos En Valores Superiores A Los Límites Establecidos En Las Normas Reguladoras De Los Vehículos (La Comisión De Los Hechos Descritos En Estos Supuestos Se Denunciarán Por Este Precepto, Aunque En Directa Relación Con Lo Dispuesto En El Art. 11.19 Del Reglamento General
De Vehículos)",200;100,Titular Conductor,NOTA: Al perseguir este tipo de infracción deberá contarse con el medio técnico necesario que permita comprobar el nivel de gases o humos detectados,EMISIONES
CIR,7,1,5D,0,Grave 076.- O),"Circular Con Un Vehículo Que Ha Sido Objeto De Una Reforma De Importancia No Autorizada (La Comisión De Los Hechos Descritos En Este Supuesto Se Denunciarán Por Este Precepto, Aunque En Directa Relación Con Lo Dispuesto En El Artículo 7 Del Reglamento
General De Vehículos)",200;100,Titular Conductor,,REFORMAS IMPORTAN C.
CIR,7,1,5E,0,Leve,"No Colaborar El Conductor De Un Vehículo En Las Pruebas De Detección Que Permitan Comprobar Una Posible Deficiencia En El Mismo (Detallar El Tipo
De Deficiencia)",80;40,Conductor,,COMPORTA MIENTO INDEBIDO
CIR,7,2,5A,0,Grave 076.- O),"Circular Con Un Vehículo A Motor Con El Escape Libre, Sin Llevar Instalado El Preceptivo Dispositivo Silenciador De Explosiones O Con Un Silenciador Ineficaz (La Comisión De Los Hechos Descritos En Estos Supuestos Se Denunciarán Por Este Precepto, Aunque En Directa Relación Con Lo Dispuesto En El Art. 11.19 Del Reglamento General
De Vehículos)",200;100,Conductor,,EMISIONES
CIR,7,2,5B,0,Grave 076.- O),"Circular Con Un Ciclomotor Con El Escape Libre, Sin Llevar Instalado El Preceptivo Dispositivo Silenciador De Explosiones O Con Un Silenciador Ineficaz (La Comisión De Los Hechos Descritos En Estos Supuestos Se Denunciarán Por Este Precepto, Aunque En Directa Relación Con Lo Dispuesto En El Art. 11.19 Del Reglamento General
De Vehículos)",200;100,Conductor,,EMISIONES
CIR,7,4,5A,0,Leve,"Instalar Vertederos De Basuras Y Residuos Dentro De La Zona De Afección De La Carretera, O Aún Cuando Estando Fuera De Ella, Existe Peligro De Que El Humo Producido Por La Incineración De Las Basuras O Incendios Ocasionales Pueda
Alcanzar Aquella.",80;40,Autor Responsable,"NOTA: Quedan prohibidos, en concreto, los vertederos de basuras y residuos dentro de la zona de afección de las carreteras, en todo caso, y fuera de ella cuando exista peligro de que el humo producido por la incineración de las basuras o incendios ocasionales pueda alcanzar la carretera.",EMISIONES
CIR,9,1,5B,0,Grave 076.- U),"Conducir Un Vehículo Ocupado Por Un Número De Personas Que Exceda Del 50% Del Número De Plazas Autorizadas, Excluido El Conductor. (No Aplicable A Los Conductores De Autobuses Urbanos Ni
Interurbanos.)",200;100,Conductor,NOTA: En estos casos se podría proceder a la inmovilización del vehículo por los Agentes de la Autoridad (art. 104.1.g LTSV) que lo mantendrán inmovilizado mientras subsista la causa de la infracción.,EMPLAZAM. PERSONAS
CIR,9,1,5E,0,Leve,"Transportar En El Vehículo Reseñado Un Número De Personas Superior Al De Plazas Autorizadas, Sin Que El Exceso De Ocupación Supere En Un 50% Dichas Plazas. ( En Transporte Escolar Y De Menores, Se Aplicará La Normativa Específica Sobre La Materia (Rd 443/2001, De 27 De Abril, Sobre Condiciones De Seguridad En El Transporte
 Escolar Y De Menores))",100;50,Conductor,"NOTA: Ej: TURISMO DE 5
PLAZAS. Hasta 6 ocupantes máx. OTROS TIPOS DE VEHÍCULO DE HASTA 9 PLAZAS: hasta 12
ocupantes máx. Si el exceso afecta a los movimientos del conductor o a la estabilidad del vehículo se tipificará como infracción al art. 3.1 del RGCir.(conducción negligente)",EMPLAZAMI ENTO PERSONAS/ CARGA
CIR,10,1,5A,0,Leve,"Transportar Personas En Un Vehículo En Emplazamiento Distinto Al Destinado Y
Acondicionado Para Ellas",80;40,Conductor,"NOTA: Los pasajeros sólo pueden ser transportados en los asientos homologados de los que van dotados los vehículos, incluidas las
autocaravanas.",EMPLAZAMI ENTO PERSONAS/ CARGA
CIR,10,2,5A,0,Leve,"Viajar Personas En Un Vehículo Destinado Al Transporte De Mercancías O Cosas En El Lugar Reservado A La Carga, Incumpliendo Las Condiciones Que Se Establecen En Las Disposiciones Que
Regulan La Materia",80;40,Conductor,"NOTA: No obstante, en los vehículos de transporte de mercancías o cosas, excepcionalmente, podrán viajar personas en el lugar reservado a la carga en las condiciones que se establecen en las disposiciones que regulan la materia",EMPLAZAMI ENTO PERSONAS/ CARGA
CIR,10,3,5A,0,Leve,"Llevar Instalada Una Protección De La Carga Que Estorba A Los Ocupantes En Un Vehículo Autorizado Para Transportar Simultáneamente
Personas Y Carga",80;40,Conductor,"NOTA: La carencia de la protección señalada en este supuesto se denunciarán por el artículo 12.4 del Reglamento General de Vehículos.
Ver Anexo VI del RGVehiculos.",CARGA Y DESCARGA
CIR,10,3,5B,0,,"Llevar Instalada Una Protección De La Carga Que Puede Dañar A Los Ocupantes En Caso De Ser Proyectada, En Un Vehículo Autorizado Para Transportar Simultáneamente
Personas Y Carga",200;SIN REDUC.,Titular Conductor,NOTA: LOS HECHOS DESCRITOS EN ESTOS SUPUESTOS SE DENUNCIARÁN POR EL ARTÍCULO 12.4 DEL REGLAMENTO GENERAL DE VEHÍCULOS,CARGA Y DESCARGA
CIR,10,4,5A,0,Grave 076.- O),"No Llevar Instalada La
Protección De La Carga Prevista En La Legislación Reguladora De Los Vehículos, En Un Vehículo Autorizado Para Transportar Simultáneamente
Personas Y Carga",200;100,Conductor,"NOTA: Si dicha protección fuera inadecuada o no existiera, estos supuestos se denunciarán por el ARTÍCULO 12.4 DEL REGLAMENTO GENERAL DE VEHÍCULOS",CARGA Y DESCARGA
CIR,11,1,5A,0,Leve,"Efectuar Paradas Y Arrancadas Con Sacudidas O Movimientos Bruscos El Conductor De Un Transporte Colectivo
De Viajeros",80;40,Conductor,,TRANSPOR TE PÚBLICO DE VIAJEROS
CIR,11,1,5B,0,Leve,"No Parar Lo Más Cerca Posible Del Borde Derecho De La Calzada El Conductor De Un Transporte Colectivo De
Personas",80;40,Conductor,,TRANSPOR TE PÚBLICO DE VIAJEROS
CIR,11,1,5C,0,Leve,"Realizar El Conductor De Un Transporte Colectivo De Personas, Actos Que Le Puedan Distraer
Durante La Marcha",80;40,Conductor,,TRANSPOR TE PÚBLICO DE VIAJEROS
CIR,11,1,5D,0,Leve,"No Velar Por La Seguridad De Los Viajeros El Conductor, O En Su Caso El Encargado, De Un Transporte Colectivo De Viajeros, Tanto Durante La Marcha Como En Las Subidas Y
Bajadas",80;40,Conductor Encargado,,TRANSPOR TE PÚBLICO DE VIAJEROS
CIR,11,2,5A,0,Leve,"Vulnerar El Viajero De Un
Vehículo Destinado Al Servicio Público De Transporte Colectivo De Personas Prohibiciones Reglamentariamente Previstas (Determinar La Obligación Incumplida Por El Viajero)",80;40,Usuario,,TRANSPOR TE PÚBLICO DE VIAJEROS
CIR,11,2,5B,0,Leve,"No Prohibir La Entrada U
Ordenar La Salida El Conductor De Un Vehículo Destinado Al Servicio Público De Transporte Colectivo De Personas, A Los Viajeros Que Vulneren Las Prohibiciones
 Establecidas",80;40,Conductor,,TRANSPOR TE PÚBLICO DE VIAJEROS
CIR,12,1,5A,0,Leve,Circular 2 Personas En Un Ciclo En Condiciones Distintas A Las Reglamentarias (Especificar El Incumplimiento),80;40,Conductor,"NOTA: No obstante, se podrá transportar a una persona cuando se cumplan ciertos requisitos: que el conductor sea mayor de edad, que la persona transportada sea un menor de hasta 7 años y que utilice un asiento adicional que habrá de
ser homologado",EMPLAZAMI ENTO PERSONAS/ CARGA
CIR,12,2,5A,0,Leve,Circular 2 Personas En El Vehículo Reseñado En Condiciones Distintas A Las Reglamentarias (Especificar El Incumplimiento),80;40,Conductor,"NOTA: No obstante, en los ciclomotores y motocicletas, además del conductor y, en su caso, del ocupante del sidecar de ésta últimas, puede viajar, siempre que así conste en su licencia o permiso de circulación, un pasajero cumpliendo ciertos requisitos (Ver
Guía Comentada)",EMPLAZAMI ENTO PERSONAS/ CARGA
CIR,12,2,5B,0,Grave 076.- I),"Circular Con Menores De Doce Años Como Pasajeros De Motocicletas O Ciclomotores En Condiciones Distintas A Las Reglamentarias. (Deben Tenerse En Cuenta Las Excepciones Reglamentarias Para Mayores De 7 Años, Cuando Sean Conducidos Por Su Padre, Madre O Tutor O Por Personas Mayores De Edad Por Ellos Autorizadas; Siempre Y Cuando Se Haga Cumpliendo Determinados Requisitos
)",200;100,Conductor,NOTA: (Ver Guía Comentada),EMPLAZAMI ENTO PERSONAS/ CARGA
CIR,12,4,5A,0,Leve,Circular El Vehículo Reseñado Arrastrando Un Remolque En Condiciones Distintas A Las Reglamentarias (Especificar El Incumplimiento),80;40,Conductor,"NOTA: Las motocicletas, los vehículos de tres ruedas, los ciclomotores y los ciclos y bicicletas podrán arrastrar un remolque o semirremolque siempre que no superen el 50 % de la masa en vacío (MMA) del vehículo tractor y
se cumplan ciertas condiciones.","REMOLQUE
de VEHÍCULOS"
CIR,14,1-A,5A,0,Grave 076.- R),"Circular Con El Vehículo Reseñado Cuya Carga Pueda Arrastrar, Caer, Desplazarse De Manera Peligrosa O Comprometer La Estabilidad Del Vehículo, Sin Disponer De Los Accesorios Que Garanticen La Adecuada Protección O Acondicionamiento De La Carga (Especificar Las Consecuencias De Tal
Incumplimiento)",200;100,Titular Conductor Autor Responsable,"NOTA: Hay que tener en cuenta, que en función del tipo de vehículo objeto de denuncia y de la entidad o clase de carga transportada pueden imputarse los hechos al titular o al conductor.",EMPLAZAMI ENTO PERSONAS/ CARGA
CIR,14,1-B,5D,0,"Muy grave 077.-
B)","Circular Con El Vehículo Reseñado Cuya Carga Ha Caído A La Vía, Por Su Mal Acondicionamiento, Creando Grave Peligro Para El Resto De Los Usuarios",500;250,"Titular Conductor Autor
Responsable","NOTA: Deberán especificarse las concretas circunstancias en que los hechos se han producido, señalando en las mismas si aquellos se debieron a un mal acondicionamiento imputable al conductor o al titular del vehículo objeto de denuncia (en función de la clase, tipo y servicio a que el mismo
se dedicaba en ese momento)",EMPLAZAMI ENTO PERSONAS/ CARGA
CIR,14,1-C,5B,0,Leve,"Circular Con El Vehículo Reseñado Cuya Carga Transportada Produce Ruido, Polvo U Otras Molestias Que Puedan Ser Evitadas",80;40,"Titular Conductor Autor
Responsable","NOTA: La carga transportada en un vehículo, así como los accesorios que se utilicen para su acondicionamiento o protección, deben estar dispuestos y, si fuera necesario, sujetos de tal forma que no puedan, entre otras, generar este tipo de situaciones.",EMPLAZAMI ENTO PERSONAS/ CARGA
CIR,14,1-D,5C,0,Leve,"Circular Con El Vehículo Reseñado En El Que La Indebida Disposición De La Carga Oculta Los Dispositivos De Alumbrado O Señalización Luminosa, Placas O Distintivos Obligatorios Y Las Advertencias Manuales Del Conductor. (Deben Especificarse Las Señales O Placas
Ocultadas.)",80;40,Titular Conductor Autor Responsable,,EMPLAZAMI ENTO PERSONAS/ CARGA
CIR,14,2,5A,0,Leve,"Circular Con Un Vehículo Sin Cubrir, Total Y Eficazmente, Las Materias Transportadas Que Producen Polvo O Pueden Caer (Especificar Si El Vehículo Dispone O No De Lona O Dispositivo Similar.)",80;40,"Titular Conductor Autor
Responsable",NOTA: Imputable al titular o conductor en función de si el mecanismo para cubrir dichas materias estaba o no a disposición del conductor.,EMPLAZAMI ENTO PERSONAS/ CARGA
CIR,15,1,5A,0,Leve,"Circular Con El Vehículo Reseñado Cuya Carga Sobresale De La Proyección En Planta Del Mismo, En Los Términos Reglamentariamente
Previstos.",80;40,Titular Conductor,,EMPLAZAMI ENTO PERSONAS/ CARGA
CIR,15,5,5A,0,Leve,"Circular Con Un Vehículo
Transportando Una Carga Que Sobresale De Su Proyección En Planta, Sin Adoptar Las Debidas Precauciones Para Evitar Todo Daño O Peligro A Los Demás Usuarios De La Vía.",80;40,Titular,,EMPLAZAMI ENTO PERSONAS/ CARGA
CIR,15,6,5A,0,Leve,"No Señalizar
Reglamentariamente La Carga Que Sobresale Longitudinalmente Del Vehículo Reseñado (Si La Señal Se Encuentra En El Vehículo El Responsable Es El Conductor. En Otro Caso, El Titular.)",80;40,Titular Conductor,"NOTA: En todo caso, la carga que sobresalga por detrás de los vehículos deberá ser señalizada por medio de la señal V-20 a que se refiere el artículo 173 del RGCirc., y cuyas características se establecen en el Anexo XI del RGVeh.",SEÑALIZACi ÓN
CIR,15,6,5B,0,Leve,"Circular Con Un
Vehículo, Entre La Puesta Y Salida Del Sol O Bajo Condiciones Meteorológicas O Ambientales Que Disminuyen Sensiblemente La Visibilidad Sin Señalizar La Carga De La Forma Establecida Reglamentariamente (Deberán Indicarse Las Condiciones Existentes)",80;40,Titular Conductor,"NOTA: Deberán indicarse las condiciones existentes. Cuando el vehículo circule en esas condiciones la carga deberá ir señalizada, además (Señal V-20) con una luz roja. Cuando la carga sobresalga por delante, la señalización deberá hacerse por medio de una luz blanca",SEÑALIZACi ÓN
CIR,15,7,5A,0,Leve,"No Señalizar
Reglamentariamente La Carga Que Sobresale Lateralmente Del Gálibo Del Vehículo Reseñado (Indicar Si La Señal Correspondiente Se
 Encuentra O No Activada)",80;40,Titular Conductor,,SEÑALIZACi ÓN
CIR,16,-,5A,0,Leve,"Realizar Operaciones De Carga Y Descarga En La Vía, Pudiendo Hacerlo Fuera De La Misma",80;40,Conductor,"NOTA: Las operaciones de carga y descarga deberán llevarse a cabo fuera de la vía. Excepcionalmente, cuando sea inexcusable efectuarlas en ésta, deberán realizarse sin ocasionar peligros ni perturbaciones
graves al tránsito de otros usuarios.",CARGA Y DESCARGA
CIR,16,-,5B,0,Leve,"Realizar En La Vía Operaciones De Carga Y Descarga Ocasionando Peligro O Perturbaciones Graves Al Tránsito De Otros Usuarios (Deberá Indicarse El Peligro O La
Perturbación Causada)",80;40,Conductor,,CARGA Y DESCARGA
CIR,16,-,5C,0,Leve,"Realizar En La Vía Operaciones De Carga Y Descarga Depositando La Mercancía En La Calzada, Arcén O Zona Peatonal (Deberá Indicarse Dónde
 Se Depositó La Misma)",80;40,Conductor,,CARGA Y DESCARGA
CIR,17,1,5A,0,Leve,"Conducir Sin Adoptar Las Precauciones Necesarias Para La Seguridad De Otros Usuarios De La Vía (Deberá Indicarse El Hecho Que Provocó La
Falta De Precaución)",80;40,Conductor,NOTA: Los conductores deberán estar en todo momento en condiciones de controlar sus vehículos o animales.,COMPORTA MIENTO INDEBIDO
CIR,17,2,5A,0,Leve,"Llevar Corriendo Por La
Vía, Caballerías, Ganados O Vehículos De Carga De Tracción Animal, En Las Inmediaciones De Otros De La Misma Especie O De Las Personas Que Van A Pie.- (Deberán Concretarse Los Hechos)",80;40,Conductor,,COMPORTA MIENTO INDEBIDO
CIR,17,2,5B,0,Leve,"Abandonar La
Conducción De Caballerías, Ganados O Vehículos De Carga De Tracción Animal, Dejándolos Marchar Libremente Por El Camino O Detenerse En El (Deberá Indicarse El Animal O Vehículo De Que
Se Trate)",80;40,Conductor,,COMPORTA MIENTO INDEBIDO
CIR,18,1,5A,0,Leve,"Conducir El Vehículo Reseñado Sin Mantener La Propia Libertad De Movimientos (Deberán
Concretarse Los Hechos)",80;40,Conductor,,COMPORTA MIENTO INDEBIDO
CIR,18,1,5B,0,Leve,Conducir Un Vehículo Sin Mantener El Campo De Visión (Deberán Concretarse Los Hechos),80;40,Conductor,,COMPORTA MIENTO INDEBIDO
CIR,18,1,5C,0,Leve,Conducir Un Vehículo Sin Mantener La Atención Permanente A La Conducción (Deberán Concretarse Los Hechos),80;40,Conductor,"NOTA: Habrá que especificar el motivo y si se realizaba de forma permanente o circunstancial, ya que esta infracción pudiera ser constitutiva de la conducta reflejada en el artículo 3.1 de este mismo
RGCirc. (conducción negligente)",COMPORTA MIENTO INDEBIDO
CIR,18,1,5D,0,Leve,"Conducir Un Vehículo Sin
Mantener La Posición Adecuada Y Que La Mantengan El Resto De Los Pasajeros (Deberán Concretarse Los Hechos)",80;40,Conductor,,COMPORTA MIENTO INDEBIDO
CIR,18,1,5E,0,Leve,"Conducir Un Vehículo Sin
Cuidar De La Adecuada Colocación De Los Objetos O Algún Animal Transportado Para Que No Interfieran La Conducción (Deberán Concretarse Los Hechos)",80;40,Conductor,NOTA: Los animales incontrolados deben ser transportados en recintos adecuados o independientes del usado por los pasajeros.,COMPORTA MIENTO INDEBIDO
CIR,18,1,5F,3,Grave 076.- F),"Circular Con Un Vehículo
Utilizando El Conductor Dispositivos Visuales Incompatibles Con La Atención Permanente A La Conducción. (Deberá Especificarse El Dispositivo Utilizado)",200;100,Conductor,"NOTA: Se considera incompatible
con la obligatoria atención permanente a la conducción, el uso por el conductor con el vehículo en movimiento de dispositivos tales como pantallas con acceso a internet, monitores de televisión y reproductores de video o DVD.",USO DE DISPOSITIV OS
CIR,18,2,5A,3,Grave 076.- F),"Conducir Utilizando
Cascos O Auriculares Conectados A Aparatos Receptores O Reproductores De Sonido",200;100,Conductor,NOTA: Deberá especificarse el dispositivo utilizado,USO DE DISPOSITIV OS
CIR,18,2,5B,3,Grave 076.- G),"Conducir Utilizando
Manualmente El Teléfono Móvil O Cualquier Otro Dispositivo Incompatible Con La Obligatoria Atención Permanente A La Conducción. (Deberá Especificarse El Dispositivo Utilizado)",200;100,Conductor,,USO DE DISPOSITIV OS
CIR,18,3,5A,3,Grave 076.- G),"Conducir Emitiendo O
Haciendo Señales Con El Fin De Que Se Eluda La Vigilancia De Los Agentes De Tráfico. (Deberá Especificarse El Método Utilizado Para Ello.)",200;100,Conductor,NOTA: Sólo corresponderá detraer los puntos adscritos a esta codificación cuando se hubiera utilizado algún tipo de mecanismo para la detección de radares y/o cinemómetros.,USO DE DISPOSITIV OS
CIR,18,3,5B,0,Grave 076.- M),"Emitir O Hacer Señales De Forma Encaminada A Eludir La Vigilancia De
Los Agentes De Tráfico.",200;100,Conductor,NOTA: Deberá especificarse la conducta concretamente detectada.,CONDUCC. NEGLIGENT E
CIR,19,1,5A,0,Grave 076.- O),"Circular Con Un Vehículo Cuya Superficie Acristalada No Permite A Su Conductor La Visibilidad Diáfana Sobre Toda La Vía Por La Colocación De Laminas, Adhesivos, Cortinillas U Otros Elementos No
Autorizados",200;100,Titular,"NOTA: Quedan prohibida la instalación de láminas adhesivas o cortinillas en el cristal frontal o en las ventanillas laterales delanteras, así como cualquier otra superficie acristalada incluida en el arco de 180 º de visión directa hacia delante del conductor (Orden ITC/1992/2010, de 14 de julio).",CONDICION ES TÉCNICAS
CIR,19,1,5B,0,Grave 076.- O),"Circular Con Un Vehículo Provisto De Láminas Adhesivas O Cortinillas Contra El Sol En Las Ventanillas Posteriores, Sin Llevar Dos Espejos Retrovisores Que Cumplan Las Especificaciones Técnicas Necesarias.",200;100,Titular,"NOTA: Las láminas de material plástico adhesivas pueden homologarse junto con el vidrio al que van destinadas, en aplicación de la Directiva 92/22/CEE del Consejo, de 31 de marzo, relativa a los cristales de seguridad y a los materiales para acristalamiento de vehículos a motor y sus remolques, o del Reglamento de la CEPE/ONU
43R00.",CONDICION ES TÉCNICAS
CIR,19,2,5A,0,Grave 076.- O),Colocar En Un Vehículo Vidrios Tintados O Coloreados No Homologados,200;100,Titular,NOTA: Deberán especificarse los concretos hechos observados.,CONDICION ES TÉCNICAS
